state_name,state_id,city,city_ascii,county_name,lat,lng,timezone,zips
Wisconsin,WI,Glenbeulah,Glenbeulah,Sheboygan,43.7982,-88.0464,America/Chicago,53073 53023
Wisconsin,WI,Glendale,Glendale,Milwaukee,43.1287,-87.9277,America/Chicago,53209 53217 53212
Wisconsin,WI,Glenwood City,Glenwood City,St. Croix,45.0521,-92.1658,America/Chicago,54013
Wisconsin,WI,Glidden,Glidden,Ashland,46.1346,-90.5721,America/Chicago,54527
Wisconsin,WI,Goodman,Goodman,Marinette,45.623,-88.3518,America/Chicago,54125
Wisconsin,WI,Gordon,Gordon,Douglas,46.2409,-91.7995,America/Chicago,54838
Wisconsin,WI,Gotham,Gotham,Richland,43.2225,-90.297,America/Chicago,53540 53556
Wisconsin,WI,Grafton,Grafton,Ozaukee,43.3204,-87.948,America/Chicago,53024
Wisconsin,WI,Grand Marsh,Grand Marsh,Adams,43.8852,-89.7072,America/Chicago,53936
Wisconsin,WI,Grand View,Grand View,Bayfield,46.368,-91.1036,America/Chicago,54839
Wisconsin,WI,Granton,Granton,Clark,44.5886,-90.4614,America/Chicago,54436
Wisconsin,WI,Grantsburg,Grantsburg,Burnett,45.7813,-92.6836,America/Chicago,54840
Wisconsin,WI,Gratiot,Gratiot,Lafayette,42.5799,-90.0238,America/Chicago,53541
Wisconsin,WI,Green Bay,Green Bay,Brown,44.5148,-87.9895,America/Chicago,54311 54303 54302 54301 54304 54305 54306 54308
Wisconsin,WI,Green Lake,Green Lake,Green Lake,43.8441,-88.9561,America/Chicago,54941
Wisconsin,WI,Green Valley,Green Valley,Shawano,44.7969,-88.2682,America/Chicago,54127
Wisconsin,WI,Greenbush,Greenbush,Sheboygan,43.7778,-88.0907,America/Chicago,53023 53026
Wisconsin,WI,Greendale,Greendale,Milwaukee,42.9371,-88.0018,America/Chicago,53129
Wisconsin,WI,Greenfield,Greenfield,Milwaukee,42.9619,-88.0052,America/Chicago,53221 53220 53228
Wisconsin,WI,Greenleaf,Greenleaf,Brown,44.317,-88.0972,America/Chicago,54126
Wisconsin,WI,Greenville,Greenville,Outagamie,44.3003,-88.5365,America/Chicago,54942 54944 54914
Wisconsin,WI,Greenwood,Greenwood,Clark,44.7655,-90.5989,America/Chicago,54437
Wisconsin,WI,Gresham,Gresham,Shawano,44.8478,-88.7856,America/Chicago,54128
Wisconsin,WI,Hager City,Hager City,Pierce,44.6012,-92.5337,America/Chicago,54014
Wisconsin,WI,Hales Corners,Hales Corners,Milwaukee,42.9409,-88.0491,America/Chicago,53130
Wisconsin,WI,Hammond,Hammond,St. Croix,44.969,-92.4381,America/Chicago,54015
Wisconsin,WI,Hancock,Hancock,Waushara,44.1333,-89.5209,America/Chicago,54943
Wisconsin,WI,Hanover,Hanover,Rock,42.6389,-89.1712,America/Chicago,53576 53548
Wisconsin,WI,Harrison,Harrison,Calumet,44.1935,-88.2941,America/Chicago,54952 54169 54130 54915 54129
Wisconsin,WI,Harrisville,Harrisville,Marquette,43.8808,-89.4078,America/Chicago,53964 53949
Wisconsin,WI,Hartford,Hartford,Washington,43.3223,-88.3784,America/Chicago,53027
Wisconsin,WI,Hartland,Hartland,Waukesha,43.1029,-88.3396,America/Chicago,53029
Wisconsin,WI,Hatfield,Hatfield,Jackson,44.4164,-90.7409,America/Chicago,54754
Wisconsin,WI,Hatley,Hatley,Marathon,44.8866,-89.3371,America/Chicago,54440
Wisconsin,WI,Haugen,Haugen,Barron,45.6078,-91.7788,America/Chicago,54841
Wisconsin,WI,Hawkins,Hawkins,Rusk,45.5115,-90.7148,America/Chicago,54530
